,Model,ClockSpeed,BoostClockSpeed,Cores,Threads,Socket,TDP,ReleaseDate
329,7th Gen AMD PRO A10-9730B APU,2.8GHz,Up to 3.5GHz,4.0,0.0,FP4,35W,10/24/2016
330,7th Gen AMD PRO A10-9700B APU,2.5GHz,Up to 3.4GHz,4.0,0.0,FP4,15W,10/24/2016
331,7th Gen AMD PRO A8-9630B,2.6GHz,Up to 3.3GHz,4.0,0.0,FP4,35W,10/24/2016
332,7th Gen AMD PRO A8-9600B APU,2.4GHz,Up to 3.3GHz,4.0,0.0,FP4,15W,10/24/2016
333,7th Gen AMD PRO A6-9500B APU,2.3GHz,Up to 3.2GHz,2.0,0.0,FP4,15W,10/24/2016
334,7th Gen FX 9830P APU,3.0GHz,Up to 3.7GHz,4.0,0.0,FP4,35W,Q216
335,7th Gen FX 9800P APU,2.7GHz,Up to 3.6GHz,4.0,0.0,FP4,15W,Q216
336,7th Gen E2-9010 APU,200MHz,Up to 2.2GHz,2.0,0.0,,15W,Q217
337,AMD EPYC 9554P,3.1GHz,Up to 3.75GHz,64.0,128.0,SP5,360W,
338,AMD EPYC 9554,3.1GHz,Up to 3.75GHz,64.0,128.0,SP5,360W,
339,6th Gen A10-8700P APU,1.8GHz,Up to 3.2GHz,4.0,4.0,FP4,15W,
340,AMD EPYC 9534,2.45GHz,Up to 3.7GHz,64.0,128.0,SP5,280W,
341,AMD EPYC 9474F,3.6GHz,Up to 4.1GHz,48.0,96.0,SP5,360W,
342,6th Gen A8-8600P APU,1.6GHz,Up to 3.0GHz,4.0,4.0,FP4,15W,
343,6th Gen AMD PRO A12-8870 APU,3.7GHz,Up to 4.2GHz,4.0,0.0,AM4,65W,3Q 2016
344,AMD EPYC 9454P,2.75GHz,Up to 3.8GHz,48.0,96.0,SP5,290W,
345,6th Gen AMD PRO A12-8870E APU,2.9GHz,Up to 3.8GHz,4.0,0.0,AM4,35W,
346,AMD EPYC 9454,2.75GHz,Up to 3.8GHz,48.0,96.0,SP5,290W,
347,6th Gen AMD PRO A10-8850B APU,3.9GHz,Up to 4.1GHz,4.0,4.0,FM2+,95W,
348,AMD EPYC 9374F,3.85GHz,Up to 4.3GHz,32.0,64.0,SP5,320W,
349,6th Gen AMD PRO A10-8770 APU,3.5GHz,Up to 3.8GHz,4.0,0.0,AM4,65W,3Q 2016
350,AMD EPYC 9354P,3.25GHz,Up to 3.8GHz,32.0,64.0,SP5,280W,
351,6th Gen AMD PRO A10-8770E APU,2.8GHz,Up to 3.5GHz,4.0,0.0,AM4,35W,3Q 2016
352,AMD EPYC 9354,3.25GHz,Up to 3.8GHz,32.0,64.0,SP5,280W,
353,6th Gen AMD PRO A10-8750B APU,3.6GHz,Up to 4.0GHz,4.0,4.0,FM2+,65W,
354,AMD EPYC 9334,2.7GHz,Up to 3.9GHz,32.0,64.0,SP5,210W,
355,6th Gen AMD PRO A8-8650B APU,3.2GHz,Up to 3.9GHz,4.0,4.0,FM2+,65W,
356,AMD EPYC 9274F,4.05GHz,Up to 4.3GHz,24.0,48.0,SP5,320W,
357,AMD EPYC 9254,2.9GHz,Up to 4.15GHz,24.0,48.0,SP5,200W,
358,6th Gen AMD PRO A6-8570 APU,3.5GHz,Up to 3.8GHz,2.0,0.0,AM4,65W,
359,AMD EPYC 9224,2.5GHz,Up to 3.7GHz,24.0,48.0,SP5,200W,
360,6th Gen AMD PRO A6-8570E APU,3.0GHz,Up to 3.4GHz,2.0,0.0,AM4,35W,
361,AMD EPYC 9174F,4.1GHz,Up to 4.4GHz,16.0,32.0,SP5,320W,
362,6th Gen AMD PRO A6-8550B APU,3.7GHz,Up to 4.0GHz,2.0,2.0,FM2+,65W,
363,AMD EPYC 9124,3.0GHz,Up to 3.7GHz,16.0,32.0,SP5,200W,
364,6th Gen AMD PRO A4-8350B APU,3.5GHz,Up to 3.9GHz,2.0,2.0,FM2+,65W,
365,6th Gen AMD PRO A12-8830B APU,2.5GHz,Up to 3.4GHz,4.0,0.0,FP4,,Q3 2016
366,6th Gen AMD PRO A12-8800B APU,2.1GHz,Up to 3.4GHz,4.0,4.0,FP4,15W,
367,6th Gen AMD PRO A10-8730B APU,2.4GHz,Up to 3.3GHz,4.0,0.0,FP4,,Q3 2016
368,6th Gen AMD PRO A10-8700B APU,1.8GHz,Up to 3.2GHz,4.0,4.0,FP4,15W,
369,6th Gen AMD PRO A8-8600B APU,1.6GHz,Up to 3.0GHz,4.0,4.0,FP4,15W,
370,6th Gen AMD PRO A6-8530B APU,2.3GHz,Up to 3.2GHz,2.0,0.0,FP4,,Q3 2016
371,6th Gen AMD PRO A6-8500B APU,1.6GHz,Up to 3.0GHz,2.0,4.0,FP4,15W,
372,6th Gen FX-8800P APU,2.1GHz,Up to 3.4GHz,4.0,4.0,FP4,15W,
373,A10-7890K with Radeon R7 Graphics and Wraith cooler,4.1GHz,Up to 4.3GHz,4.0,0.0,FM2+,95W,
374,A10-7870K with Radeon R7 Series,3.9GHz,Up to 4.1GHz,4.0,4.0,FM2+,95W,
375,A10-7870K with Radeon R7 Graphics and Near Silent Thermal Solution,3.9GHz,Up to 4.1GHz,4.0,0.0,FM2+,95W,
376,A10-7860K with Radeon R7 Series,3.6GHz,Up to 4.0GHz,4.0,4.0,FM2+,65W,
377,A10-7860K with Radeon R7 Graphics and Near Silent Thermal Solution,3.6GHz,Up to 4.0GHz,4.0,4.0,FM2+,65W,
378,A10-7850K with Radeon R7 Series,3.7GHz,Up to 4.0GHz,4.0,4.0,FM2+,95W,
379,A10-7800 with Radeon R7 Series,3.5GHz,Up to 3.9GHz,4.0,4.0,FM2+,,
380,A10-7700K with Radeon R7 Series,3.4GHz,Up to 3.8GHz,4.0,4.0,FM2+,,
381,A10-6800K with Radeon HD 8670D,4.1GHz,Up to 4.4GHz,4.0,4.0,FM2,100W,
382,A10-6790K with Radeon HD 8670D,4.0GHz,Up to 4.3GHz,4.0,4.0,FM2,100W,
383,A10-6700 with Radeon HD 8670D,3.7GHz,Up to 4.3GHz,4.0,4.0,FM2,65W,
384,AMD EPYC 7773X,2.2GHz,Up to 3.5GHz,64.0,128.0,SP3,280W,
385,A10-6700T with Radeon HD 8650D,2.5GHz,Up to 3.5GHz,4.0,4.0,FM2,45W,
386,AMD EPYC 7763,2.45GHz,Up to 3.5GHz,64.0,128.0,SP3,280W,3/15/2021
387,AMD EPYC 7713P,2.0GHz,Up to 3.675GHz,64.0,128.0,SP3,225W,3/15/2021
388,AMD EPYC 7713,2.0GHz,Up to 3.675GHz,64.0,128.0,SP3,225W,3/15/2021
389,AMD EPYC 7663,2.0GHz,Up to 3.5GHz,56.0,112.0,SP3,240W,3/15/2021
390,AMD EPYC 7643,2.3GHz,Up to 3.6GHz,48.0,96.0,SP3,225W,3/15/2021
391,AMD EPYC 7573X,2.8GHz,Up to 3.6GHz,32.0,64.0,SP3,280W,
392,AMD EPYC 75F3,2.95GHz,Up to 4.0GHz,32.0,64.0,SP3,280W,3/15/2021
393,AMD EPYC 7543P,2.8GHz,Up to 3.7GHz,32.0,64.0,SP3,225W,3/15/2021
394,AMD EPYC 7543,2.8GHz,Up to 3.7GHz,32.0,64.0,SP3,225W,3/15/2021
395,AMD EPYC 7513,2.6GHz,Up to 3.65GHz,32.0,64.0,SP3,200W,3/15/2021
396,AMD EPYC 7473X,2.8GHz,Up to 3.7GHz,24.0,48.0,SP3,240W,
397,AMD EPYC 7453,2.75GHz,Up to 3.45GHz,28.0,56.0,SP3,225W,3/15/2021
398,AMD EPYC 74F3,3.2GHz,Up to 4.0GHz,24.0,48.0,SP3,240W,3/15/2021
399,AMD EPYC 7443P,2.85GHz,Up to 4.0GHz,24.0,48.0,SP3,200W,3/15/2021
400,AMD EPYC 7443,2.85GHz,Up to 4.0GHz,24.0,48.0,SP3,200W,3/15/2021
401,AMD EPYC 7413,2.65GHz,Up to 3.6GHz,24.0,48.0,SP3,180W,3/15/2021
402,AMD EPYC 73F3,3.5GHz,Up to 4.0GHz,16.0,32.0,SP3,240W,3/15/2021
403,AMD EPYC 7373X,3.05GHz,Up to 3.8GHz,16.0,32.0,SP3,240W,
404,AMD EPYC 7343,3.2GHz,Up to 3.9GHz,16.0,32.0,SP3,190W,3/15/2021
405,AMD EPYC 7313P,3.0GHz,Up to 3.7GHz,16.0,32.0,SP3,155W,3/15/2021
406,AMD EPYC 7313,3.0GHz,Up to 3.7GHz,16.0,32.0,SP3,155W,3/15/2021
407,A8-7670K with Radeon R7 Graphics and Near Silent Thermal Solution,3.6GHz,Up to 3.9GHz,4.0,4.0,FM2+,95W,
408,AMD EPYC 72F3,3.7GHz,Up to 4.1GHz,8.0,16.0,SP3,180W,3/15/2021
409,AMD EPYC 7F72,3.2GHz,Up to 3.7GHz,24.0,48.0,SP3,240W,
410,AMD EPYC 7F52,3.5GHz,Up to 3.9GHz,16.0,32.0,SP3,240W,
411,A8-7650K with Radeon R7 Series,3.3GHz,Up to 3.8GHz,4.0,4.0,FM2+,95W,
412,AMD EPYC 7F32,3.7GHz,Up to 3.9GHz,8.0,16.0,SP3,180W,
413,AMD EPYC 7H12,2.6GHz,Up to 3.3GHz,64.0,128.0,SP3,280W,
414,A8-7650K with Radeon R7 Graphics and Near Silent Thermal Solution,3.3GHz,Up to 3.8GHz,4.0,4.0,FM2+,95W,
415,AMD EPYC 7742,2.25GHz,Up to 3.4GHz,64.0,128.0,SP3,225W,
416,AMD EPYC 7702,2.0GHz,Up to 3.35GHz,64.0,128.0,SP3,200W,
417,A8-7600 with Radeon R7 Series,3.1GHz,Up to 3.8GHz,4.0,4.0,FM2+,65W,
418,AMD EPYC 7702P,2.0GHz,Up to 3.35GHz,64.0,128.0,SP3,200W,
419,A8-6600K with Radeon HD 8570D,3.9GHz,Up to 4.2GHz,4.0,4.0,FM2,65W,
420,AMD EPYC 7662,2.0GHz,Up to 3.3GHz,64.0,128.0,SP3,225W,
421,A8-6500 with Radeon HD 8570D,3.5GHz,Up to 4.1GHz,4.0,4.0,FM2,65W,
422,AMD EPYC 7642,2.3GHz,Up to 3.3GHz,48.0,96.0,SP3,225W,
423,AMD EPYC 7552,2.2GHz,Up to 3.3GHz,48.0,96.0,SP3,200W,
424,A8-6500T with Radeon HD 8550D,2.1GHz,Up to 3.1GHz,4.0,4.0,FM2,45W,
425,AMD EPYC 7542,2.9GHz,Up to 3.4GHz,32.0,64.0,SP3,225W,
426,AMD EPYC 7532,2.4GHz,Up to 3.3GHz,32.0,64.0,SP3,200W,
427,AMD EPYC 7502,2.5GHz,Up to 3.35GHz,32.0,64.0,SP3,180W,
428,AMD EPYC 7502P,2.5GHz,Up to 3.35GHz,32.0,64.0,SP3,180W,
429,AMD EPYC 7452,2.35GHz,Up to 3.35GHz,32.0,64.0,SP3,155W,
430,AMD EPYC 7402,2.8GHz,Up to 3.35GHz,24.0,48.0,SP3,180W,
431,AMD EPYC 7402P,2.8GHz,Up to 3.35GHz,24.0,48.0,SP3,180W,
432,AMD EPYC 7352,2.3GHz,Up to 3.2GHz,24.0,48.0,SP3,155W,
433,A6-7470K with Radeon R5 Series,3.7GHz,Up to 4.0GHz,2.0,0.0,FM2+,65W,
434,A6-7400K with Radeon R5 Series,3.5GHz,Up to 3.9GHz,2.0,2.0,FM2+,65W,
435,AMD EPYC 7302,3.0GHz,Up to 3.3GHz,16.0,32.0,SP3,155W,
436,A6-6420K with Radeon HD 8470D,4.0GHz,Up to 4.2GHz,2.0,2.0,FM2,65W,
437,AMD EPYC 7302P,3.0GHz,Up to 3.3GHz,16.0,32.0,SP3,155W,
438,A6-6310 with Radeon R4 Graphics,1.8GHz,Up to 2.4GHz,4.0,4.0,FT3b,15/25W,
439,AMD EPYC 7282,2.8GHz,Up to 3.2GHz,16.0,32.0,SP3,120W,
440,A6-6400K with Radeon HD 8470D,3.9GHz,Up to 4.1GHz,2.0,2.0,FM2,65W,
441,AMD EPYC 7272,2.9GHz,Up to 3.2GHz,12.0,24.0,SP3,120W,
442,AMD EPYC 7262,3.2GHz,Up to 3.4GHz,8.0,16.0,SP3,155W,
443,AMD EPYC 7252,3.1GHz,Up to 3.2GHz,8.0,16.0,SP3,120W,
444,A6-5200 with Radeon HD 8400,2.0GHz,,4.0,4.0,FT3,25W,
445,AMD EPYC 7232P,3.1GHz,Up to 3.2GHz,8.0,16.0,SP3,120W,
446,AMD EPYC 7601,2.2GHz,Up to 3.2GHz,32.0,64.0,SP3,180W,
447,AMD EPYC 7551P,2.0GHz,Up to 3.0GHz,32.0,64.0,SP3,180W,
448,AMD EPYC 7551,2.0GHz,Up to 3.0GHz,32.0,64.0,SP3,180W,
449,AMD EPYC 7501,2.0GHz,Up to 3.0GHz,32.0,64.0,SP3,155/170W,
450,A4-7300 with Radeon HD 8470D,3.8GHz,Up to 4.0GHz,2.0,2.0,FM2,65W,
451,AMD EPYC 7451,2.3GHz,Up to 3.2GHz,24.0,48.0,SP3,180W,
452,AMD EPYC 7401P,2.0GHz,Up to 3.0GHz,24.0,48.0,SP3,155/170W,
453,A4-6320 with Radeon HD 8370D,3.8GHz,Up to 4.0GHz,2.0,2.0,FM2,65W,
454,AMD EPYC 7401,2.0GHz,Up to 3.0GHz,24.0,48.0,SP3,155/170W,
455,A4-6300 with Radeon HD 8370D,3.7GHz,Up to 3.9GHz,2.0,2.0,FM2,65W,
456,AMD EPYC 7371,3.1GHz,Up to 3.8GHz,16.0,32.0,SP3,200W,
457,AMD EPYC 7351P,2.4GHz,Up to 2.9GHz,16.0,32.0,SP3,155/170W,
458,AMD EPYC 7351,2.4GHz,Up to 2.9GHz,16.0,32.0,SP3,155/170W,
459,AMD EPYC 7301,2.2GHz,Up to 2.7GHz,16.0,32.0,SP3,155/170W,
460,A4-5100 with Radeon HD 8330,1.55GHz,,4.0,4.0,FT3,15W,
461,AMD EPYC 7281,2.1GHz,Up to 2.7GHz,16.0,32.0,SP3,155/170W,
462,A4-5000 with Radeon HD 8330,1.5GHz,,4.0,4.0,FT3,15W,
463,AMD EPYC 7261,2.5GHz,Up to 2.9GHz,8.0,16.0,SP3,155/170W,
464,AMD EPYC 7251,2.1GHz,Up to 2.9GHz,8.0,16.0,SP3,120W,
465,FX-9590,4.7GHz,Up to 5.0GHz,8.0,8.0,AM3+,220W,
466,FX-9370,4.4GHz,Up to 4.7GHz,8.0,8.0,AM3+,220W,
467,FX-8370 with Wraith cooler,4.0GHz,Up to 4.3GHz,8.0,8.0,AM3+,125W,
468,FX-8370E,3.3GHz,Up to 4.3GHz,8.0,8.0,AM3+,95W,
469,A10-7400P with Radeon R6 Graphics,2.5GHz,Up to 3.4GHz,4.0,4.0,FP3,35W,
470,FX-8370,4.0GHz,Up to 4.3GHz,8.0,8.0,AM3+,125W,
471,FX-8350 with Wraith cooler,4.0GHz,Up to 4.2GHz,8.0,8.0,AM3+,125W,
472,A10-7300 with Radeon R6 Graphics,1.9GHz,Up to 3.2GHz,4.0,4.0,FP3,20W,
473,A10 Micro-6700T with Radeon R6 Graphics,2.2GHz,,4.0,4.0,FT3b,4.5W,
474,FX-8350,4.0GHz,Up to 4.2GHz,8.0,8.0,AM3+,125W,
475,FX-8320E,3.2GHz,Up to 4.0GHz,8.0,8.0,AM3+,95W,
476,FX-8320,3.5GHz,Up to 4.0GHz,8.0,8.0,AM3+,125W,
477,FX-8310,3.4GHz,Up to 4.3GHz,8.0,8.0,AM3+,95W,
478,FX-8300,3.3GHz,Up to 4.2GHz,8.0,8.0,AM3+,95W,
479,FX-8150,3.6GHz,Up to 4.2GHz,8.0,8.0,AM3+,125W,
480,FX-8120,3.1GHz,Up to 4.0GHz,8.0,8.0,AM3+,125W,
481,A8-7410 with Radeon R5 Graphics,2.2GHz,Up to 2.5GHz,4.0,4.0,FP4,15W,
482,FX-6350 with Wraith cooler,3.9GHz,Up to 4.2GHz,6.0,6.0,AM3+,125W,
483,A8-7200P with Radeon R5 Graphics,2.4GHz,Up to 3.3GHz,4.0,4.0,FP3,100W,
484,A8-7100 with Radeon R5 Graphics,1.8GHz,Up to 3.0GHz,4.0,4.0,FP3,20W,
485,FX-6350,3.9GHz,Up to 4.2GHz,6.0,6.0,AM3+,125W,
486,FX-6300,3.5GHz,Up to 3.8GHz,6.0,6.0,AM3+,95W,
487,A8-6410 with Radeon R5 Graphics,2.0GHz,Up to 2.4GHz,4.0,4.0,FT3b,15W,
488,FX-6200,3.8GHz,Up to 4.1GHz,6.0,6.0,AM3+,125W,
489,FX 6100,3.3GHz,Up to 3.9GHz,6.0,6.0,AM3+,95W,
490,FX-4350,4.2GHz,Up to 4.3GHz,4.0,4.0,AM3+,125W,
491,FX-4320,4.0GHz,Up to 4.1GHz,4.0,4.0,AM3+,95W,
492,FX-4300,3.8GHz,Up to 4.0GHz,4.0,4.0,AM3+,95W,
493,FX-4170,4.2GHz,Up to 4.3GHz,4.0,4.0,AM3+,125W,
494,FX-4130,3.8GHz,Up to 3.9GHz,4.0,4.0,AM3,125W,
495,FX-4100,3.6GHz,Up to 3.8GHz,4.0,4.0,AM3+,95W,
496,1075T,3.5GHz,,6.0,6.0,AM3,95W,
497,1045T,2.7GHz,Up to 3.2GHz,0.0,0.0,AM3,95W,
498,980,3.7GHz,,4.0,4.0,AM3,125W,
499,A6-8500P with Radeon R5 Graphics,1.6GHz,Up to 3.0GHz,2.0,2.0,FP4,15W,
500,A6-7310 with Radeon R4 Graphics,2.0GHz,Up to 2.4GHz,4.0,4.0,FT3b,15W,
501,975,3.6GHz,,4.0,4.0,AM3,125W,
502,A6-7310 with Radeon R4 Graphics,2.0GHz,Up to 2.4GHz,4.0,4.0,FP4,15W,
503,965,3.4GHz,,4.0,4.0,AM3,80W,
504,A6-7000 with Radeon R4 Graphics,2.2GHz,Up to 3.0GHz,2.0,2.0,FT3,17W,
505,960T,3.0GHz,Up to 3.4GHz,4.0,4.0,AM3,95W,
506,A6-6310 with Radeon R4 Graphics,2.4GHz,,4.0,4.0,FT3b,15W,
507,850,3.3GHz,,4.0,4.0,AM3,95W,
508,840,3.2GHz,,4.0,4.0,AM3,95W,
509,A6-5350M with Radeon HD 8450G,2.9GHz,Up to 3.5GHz,2.0,2.0,FS1r2,35W,
510,570,4.0GHz,,2.0,2.0,AM3,80W,
511,A6-5200M with Radeon HD 8400,2.0GHz,,4.0,4.0,FT3,25W,
512,565,3.4GHz,,2.0,2.0,AM3,80W,
513,555,3.2GHz,,2.0,2.0,AM3,80W,
514,565,3.4GHz,,2.0,2.0,AM3,80W,
515,X940,2.4GHz,,4.0,4.0,S1,45W,
516,N970,2.2GHz,,4.0,4.0,S1,35W,
517,N960,1.8GHz,,4.0,4.0,S1,35W,
518,N870,2.3GHz,,3.0,3.0,AM2+,35W,
519,P860,2.0GHz,,3.0,3.0,AM2+,35W,
520,N660,3.0GHz,,2.0,2.0,S1,35W,
521,A4-7210 with Radeon R3 Graphics,1.8GHz,Up to 2.2GHz,4.0,4.0,FT3b,65W,
522,P650,2.6GHz,,2.0,2.0,S1,35W,
523,A4 Micro-6400T with Radeon R3 Graphics,1.6GHz,,4.0,4.0,FT3b,4.5W,
524,N640,2.8GHz,,2.0,2.0,S1,35W,
525,A4-6210 with Radeon R3 Graphics,1.8GHz,,4.0,4.0,FT3b,15W,
526,B99,3.3GHz,,4.0,4.0,AM3,95W,
527,B97,3.2GHz,,4.0,4.0,AM3,95W,
528,B95,3.0GHz,,0.0,0.0,AM3,95W,
529,A4-5100 with Radeon HD 8330,1.55GHz,,4.0,4.0,FT3,15W,
530,B77,3.2GHz,,3.0,3.0,AM3,95W,
531,A4-5000 with Radeon HD 8330,1.5GHz,,4.0,4.0,FT3,15W,
532,B75,3.0GHz,,3.0,3.0,AM3,95W,
533,B60,3.5GHz,,2.0,2.0,AM3,80W,
534,B59,3.4GHz,,2.0,2.0,AM3,80W,
535,B57,3.2GHz,,2.0,2.0,AM3,80W,
536,641,2.8GHz,,4.0,4.0,FM1 uPGA,100W,
537,638,2.7GHz,,4.0,4.0,FM1 uPGA,65W,
538,631,2.6GHz,,4.0,4.0,FM1 uPGA,100W,
539,631,2.6GHz,,4.0,4.0,FM1 uPGA,65W,
540,620e,2.7GHz,,4.0,4.0,AM3,45W,
541,460,3.4GHz,,3.0,3.0,AM3,95W,
542,425e,2.7GHz,,3.0,3.0,AM3,45W,
543,A10-8700P with Radeon R6 Graphics,1.8GHz,Up to 3.2GHz,4.0,4.0,FP4,,
544,255e,3.1GHz,,2.0,2.0,AM3,45W,
545,7th Gen AMD Athlon X4 970,3.8GHz,Up to 4.0GHz,4.0,4.0,AM4,65W,7/27/2017
546,A8-8600P with Radeon R6 Graphics,1.6GHz,Up to 3.0GHz,4.0,4.0,FP4,,
547,7th Gen AMD Athlon X4 950,3.5GHz,Up to 3.8GHz,4.0,4.0,AM4,,7/27/2017
548,A8-6410 with Radeon R5 Graphics,2.2GHz,Up to 2.5GHz,4.0,4.0,FT3b,,
549,7th Gen AMD Athlon X4 940,3.2GHz,Up to 3.6GHz,4.0,4.0,AM4,,7/27/2017
550,A6-8500P with Radeon R5 Graphics,1.6GHz,Up to 3.0GHz,2.0,2.0,FP4,,
551,A6-7310 with Radeon R4 Graphics,2.0GHz,Up to 2.4GHz,4.0,4.0,FP4,,
552,880K with Near Silent Thermal Solution,4.0GHz,Up to 4.2GHz,4.0,0.0,FM2+,95W,
553,A4-7210 with Radeon R3 Graphics,1.8GHz,Up to 2.2GHz,4.0,4.0,FP4,65W,
554,870K with Near Silent Thermal Solution,3.9GHz,Up to 4.1GHz,4.0,4.0,FM2+,95W,
555,A10-6800B with Radeon HD 8670D,4.1GHz,Up to 4.4GHz,4.0,4.0,FM2,45W,
556,860K,3.7GHz,Up to 4.0GHz,4.0,4.0,FM2+,95W,
557,A10-6790B with Radeon HD 8670D,4.0GHz,Up to 4.3GHz,4.0,4.0,FM2,45W,
558,860K with Near Silent Thermal Solution,3.7GHz,Up to 4.0GHz,4.0,4.0,FM2+,95W,
559,845 with Near Silent Thermal Solution,3.5GHz,Up to 3.8GHz,4.0,4.0,FM2+,,
560,A8-6500B with Radeon HD 8570D,3.5GHz,Up to 4.1GHz,4.0,4.0,FM2,65W,
561,760K,3.8GHz,Up to 4.1GHz,4.0,4.0,FM2,100W,
562,750,3.4GHz,Up to 4.0GHz,4.0,0.0,FM2,65W,
563,A6-6420B with Radeon HD 8470D,4.0GHz,Up to 4.2GHz,2.0,2.0,FM2,65W,
564,750K,3.4GHz,Up to 4.0GHz,4.0,4.0,FM2,100W,
565,740,3.2GHz,Up to 3.7GHz,4.0,4.0,FM2,65W,
566,A6-6400B with Radeon HD 8470D,3.9GHz,Up to 4.1GHz,2.0,2.0,FM2,65W,
567,2800+,56MHz,,0.0,0.0,939,45W,
568,X1150,2.0GHz,,4.0,4.0,FT3,17W,
569,6386 SE,2.8GHz,Up to 3.5GHz,16.0,16.0,G34,140W,
570,6380,2.5GHz,Up to 3.4GHz,16.0,16.0,G34,115W,
571,A10 PRO-7850B with Radeon R7 Graphics,3.7GHz,Up to 4.0GHz,4.0,4.0,FM2+,95W,
572,6378,2.4GHz,Up to 3.3GHz,16.0,16.0,G34,115W,
573,6376,2.3GHz,Up to 2.0GHz,16.0,16.0,G34,115W,
574,A10 PRO-7800B with Radeon R7 Graphics,3.5GHz,Up to 3.9GHz,4.0,4.0,FM2+,65W,
575,A8 PRO-7600B with Radeon R7 Graphics,3.1GHz,Up to 3.8GHz,4.0,4.0,FM2+,65W,
576,6370P,2.0GHz,Up to 2.5GHz,16.0,16.0,G34,99W,
577,A6 PRO-7400B with Radeon R5 Graphics,3.5GHz,Up to 3.9GHz,2.0,2.0,FM2+,65W,
578,6366 HE,1.8GHz,Up to 3.1GHz,16.0,16.0,G34,85W,
579,A4 PRO-7350B with Radeon R5 Graphics,3.4GHz,Up to 3.8GHz,2.0,2.0,FM2+,65W,
580,6348,2.8GHz,Up to 3.4GHz,12.0,12.0,G34,115W,
581,6344,2.6GHz,Up to 2.0GHz,12.0,12.0,G34,115W,
582,A4 PRO-7300B with Radeon HD 8470D,3.8GHz,Up to 4.0GHz,2.0,2.0,FM2,65W,
583,A10 PRO-7350B with Radeon R6 Graphics,2.1GHz,Up to 3.3GHz,4.0,4.0,FP3,19W,
584,6338P,2.3GHz,Up to 2.8GHz,12.0,12.0,G34,99W,
585,A8 PRO-7150B with Radeon R5 Graphics,1.9GHz,Up to 3.2GHz,4.0,4.0,FP3,100W,
586,6328,3.2GHz,Up to 3.8GHz,8.0,8.0,G34,115W,
587,6320,2.8GHz,Up to 3.3GHz,8.0,8.0,G34,115W,
588,A6 PRO-7050B with Radeon R4 Graphics,2.2GHz,Up to 3.0GHz,2.0,2.0,FP3,100W,
589,A4 PRO-3350B with Radeon R4 Graphics,2.0GHz,Up to 2.4GHz,4.0,4.0,FT3b,15W,Q2 2016
590,6308,3.5GHz,,4.0,4.0,G34,115W,
591,A4 PRO-3340B with Radeon HD 8240 Graphics,2.2GHz,,4.0,4.0,FT3,25W,
592,6284 SE,2.7GHz,Up to 3.4GHz,16.0,16.0,G34,140W,
593,6282 SE,2.6GHz,Up to 3.3GHz,16.0,16.0,G34,140W,
594,FX-7600P with Radeon R7 Graphics,2.7GHz,Up to 3.6GHz,4.0,4.0,FP3,35W,
595,AMD Athlon 3000G,3.5GHz,,2.0,4.0,AM4,35W,
596,6278,2.4GHz,Up to 3.3GHz,16.0,16.0,G34,115W,
597,FX-7500 with Radeon R7 Graphics,2.1GHz,Up to 3.3GHz,4.0,4.0,FP3,20W,
598,AMD Athlon 240GE,3.5GHz,,2.0,4.0,AM4,35W,
599,6276,2.3GHz,Up to 3.2GHz,16.0,16.0,G34,115W,
600,AMD Athlon 220GE,3.4GHz,,2.0,4.0,AM4,35W,
601,FX-8800P with Radeon R7 Graphics,2.1GHz,Up to 3.4GHz,4.0,4.0,FP4,,
602,AMD Athlon 200GE,3.2GHz,,2.0,4.0,AM4,35W,
603,6274,2.2GHz,Up to 3.1GHz,16.0,16.0,G34,115W,
604,Athlon 5370 APU with Radeon R3 Series,2.2GHz,,4.0,4.0,AM1,25W,
605,6272,2.1GHz,Up to 3.0GHz,16.0,16.0,G34,115W,
606,Athlon 5350 APU with Radeon R3 Series,2.05GHz,,4.0,4.0,AM1,25W,
607,AMD Athlon PRO 200U Mobile Processor with Radeon Vega 3 Graphics,2.3GHz,Up to 3.2GHz,2.0,4.0,FP5,15W,
608,6262 HE,1.6GHz,Up to 2.9GHz,16.0,16.0,G34,85W,
609,Athlon 5150 APU with Radeon R3 Series,1.6GHz,,4.0,4.0,AM1,25W,
610,AMD Athlon PRO 200GE,3.2GHz,,2.0,4.0,AM4,35W,
611,6238,2.6GHz,Up to 3.2GHz,12.0,12.0,G34,115W,
612,Sempron 3850 APU with Radeon R3 Series,1.3GHz,,4.0,4.0,AM1,25W,
613,6234,2.4GHz,Up to 3.0GHz,12.0,12.0,G34,115W,
614,Sempron 2650 APU with Radeon R3 Series,1.45GHz,,2.0,2.0,AM1,25W,
615,E2-7110 with Radeon R2 Graphics,1.8GHz,Up to 1.8GHz,4.0,4.0,FT3b,65W,
616,E2-7110 with Radeon R2 Graphics,1.8GHz,Up to 1.8GHz,4.0,4.0,FP4,65W,
617,6220,3.0GHz,Up to 3.6GHz,8.0,8.0,G34,115W,
618,E2-6110 with Radeon R2 Graphics,1.5GHz,,4.0,4.0,FT3b,15W,
619,6212,2.6GHz,Up to 3.2GHz,8.0,8.0,G34,115W,
620,E2-3800 with Radeon HD 8280,1.3GHz,,4.0,4.0,FT3,15W,
621,6204,3.3GHz,,4.0,4.0,G34,115W,
622,E2-3000 with Radeon HD 8280,1.65GHz,,2.0,2.0,FT3,15W,
623,6180 SE,2.5GHz,,12.0,12.0,G34,140W,
