,Model,ClockSpeed,BoostClockSpeed,Cores,Threads,Socket,TDP,ReleaseDate
147,AMD Ryzen 7 3780U Microsoft Surface Edition,2.3GHz,Up to 4.0GHz,4.0,8.0,FP5,15W,
148,AMD Ryzen 3 3200G with Radeon Vega 8 Graphics,3.6GHz,Up to 4.0GHz,4.0,4.0,AM4,65W,7/7/2019
149,AMD Ryzen 3 3200GE (OEM Only),3.3GHz,Up to 3.8GHz,4.0,4.0,AM4,35W,7/7/19
150,AMD Athlon Gold 7220U,2.4GHz,Up to 3.7GHz,2.0,4.0,,15W,
151,AMD Athlon 320GE,3.5GHz,,2.0,4.0,AM4,35W,7/7/2019
152,AMD Athlon 300GE,3.4GHz,,2.0,4.0,AM4,35W,7/7/19
153,AMD Ryzen 7 3750H,2.3GHz,Up to 4.0GHz,4.0,8.0,FP5,35W,Q1 2019
154,AMD Ryzen 5 3550H,2.1GHz,Up to 3.7GHz,4.0,8.0,FP5,35W,Q1 2019
155,AMD Athlon Silver 7120U,2.4GHz,Up to 3.5GHz,2.0,2.0,,15W,
156,AMD Ryzen 7 3700U,2.3GHz,Up to 4.0GHz,4.0,8.0,FP5,15W,Q1 2019
157,AMD Ryzen 3 3350U,2.1GHz,Up to 3.5GHz,4.0,4.0,FP5,15W,Q1 2019
158,AMD Ryzen 5 3500U,2.1GHz,Up to 3.7GHz,4.0,8.0,FP5,15W,Q1 2019
159,AMD Ryzen 3 3300U,2.1GHz,Up to 3.5GHz,4.0,4.0,FP5,15W,Q1 2019
160,AMD Ryzen 5 3580U Microsoft Surface Edition,2.1GHz,Up to 3.7GHz,4.0,8.0,FP5,15W,
161,AMD Ryzen 7 3700C,2.3GHz,Up to 4.0GHz,4.0,8.0,FP5,15W,9/22/2020
162,AMD Ryzen 5 3450U,2.1GHz,Up to 3.5GHz,4.0,8.0,FP5,15W,Q2 2020
163,AMD Ryzen 3 3200U,2.6GHz,Up to 3.5GHz,2.0,4.0,FP5,15W,Q1 2019
164,AMD Ryzen 5 3500C,2.1GHz,Up to 3.7GHz,4.0,8.0,FP5,15W,9/22/2020
165,AMD Athlon Gold 3150U,2.4GHz,Up to 3.3GHz,2.0,4.0,FP5,15W,1/6/2020
166,AMD Ryzen 3 3250C,2.6GHz,Up to 3.5GHz,2.0,4.0,FP5,15W,9/22/2020
167,AMD Athlon 300U,2.4GHz,Up to 3.3GHz,2.0,4.0,FP5,15W,
168,AMD Athlon Silver 3050U,2.3GHz,Up to 3.2GHz,2.0,2.0,FP5,15W,1/6/2020
169,AMD Athlon Silver 3050e,1.4GHz,Up to 2.8GHz,2.0,4.0,,6W,1/6/2020
170,AMD Athlon Gold 3150C,2.4GHz,Up to 3.3GHz,2.0,4.0,FP5,15W,9/22/2020
171,AMD Athlon  Silver 3050C,2.3GHz,Up to 3.2GHz,2.0,2.0,FP5,15W,9/22/2020
172,AMD Athlon Gold 3150GE (OEM Only),3.3GHz,Up to 3.8GHz,4.0,4.0,AM4,35W,7/21/2020
173,AMD 3020e,1.2GHz,Up to 2.6GHz,2.0,2.0,,6W,1/6/2020
174,AMD Athlon Gold 3150G (OEM Only),3.5GHz,Up to 3.9GHz,4.0,4.0,AM4,65W,7/21/2020
175,AMD Athlon Silver 3050GE (OEM Only),3.4GHz,Up to 3.4GHz,2.0,4.0,AM4,35W,7/21/2020
176,AMD 3015e,1.2GHz,Up to 2.3GHz,2.0,4.0,FT5,6W,7/6/2020
177,AMD 3015Ce,1.2GHz,Up to 2.3GHz,2.0,4.0,FT5,6W,4/29/2021
178,AMD Ryzen Threadripper 2990WX,3.0GHz,Up to 4.2GHz,32.0,64.0,sTR4,250W,8/13/2018
179,AMD Ryzen Threadripper 2970WX,3.0GHz,Up to 4.2GHz,24.0,48.0,sTR4,250W,10/18
180,AMD Ryzen Threadripper 2950X,3.5GHz,Up to 4.4GHz,16.0,32.0,sTR4,180W,8/31/2018
181,AMD Ryzen Threadripper 2920X,3.5GHz,Up to 4.3GHz,12.0,24.0,sTR4,180W,10/18
182,AMD Ryzen 7 2700X,3.7GHz,Up to 4.3GHz,8.0,16.0,AM4,105W,04/19/2018
183,AMD Ryzen 7 2700,3.2GHz,Up to 4.1GHz,8.0,16.0,AM4,65W,04/19/2018
184,AMD Ryzen 7 2700E Processor,2.8GHz,Up to 4.0GHz,8.0,16.0,AM4,45W,September 2018
185,AMD Ryzen 5 2600X,3.6GHz,Up to 4.2GHz,6.0,12.0,AM4,95W,04/19/2018
186,AMD Ryzen 5 2600,3.4GHz,Up to 3.9GHz,6.0,12.0,AM4,65W,04/19/2018
187,AMD Ryzen 5 2600E,3.1GHz,Up to 4.0GHz,6.0,12.0,AM4,45W,September 2018
188,AMD Ryzen 5 2500X,3.6GHz,Up to 4.0GHz,4.0,8.0,AM4,65W,9/10/2018
189,AMD Ryzen 5 2400G with Radeon RX Vega 11 Graphics,3.6GHz,Up to 3.9GHz,4.0,8.0,AM4,65W,02/12/2018
190,AMD Ryzen 5 2400GE with Radeon RX Vega 11 Graphics,3.2GHz,Up to 3.8GHz,4.0,8.0,AM4,35W,04/19/2018
191,AMD Ryzen 3 2300X,3.5GHz,Up to 4.0GHz,4.0,4.0,AM4,65W,9/10/2018
192,AMD Ryzen 9 PRO 6950H,3.3GHz,Up to 4.9GHz,8.0,16.0,,45W,
193,AMD Ryzen 3 2200G with Radeon Vega 8 Graphics,3.5GHz,Up to 3.7GHz,4.0,4.0,AM4,65W,02/12/2018
194,AMD Ryzen 7 PRO 6860Z,2.7GHz,Up to 4.75GHz,8.0,16.0,,28W,
195,AMD Ryzen 3 2200GE with Radeon Vega 8 Graphics,3.2GHz,Up to 3.6GHz,4.0,4.0,AM4,35W,04/19/2018
196,AMD Ryzen 9 PRO 6950HS,3.3GHz,Up to 4.9GHz,8.0,16.0,,35W,
197,AMD Ryzen 7 2800H,3.3GHz,Up to 3.8GHz,4.0,8.0,FP5,45W,9/10/2018
198,AMD Ryzen 5 2600H,3.2GHz,Up to 3.6GHz,4.0,8.0,FP5,45W,9/10/2018
199,AMD Ryzen 7 2700U,2.2GHz,Up to 3.8GHz,4.0,8.0,FP5,15W,10/26/2017
200,AMD Ryzen 7 PRO 6850H,3.2GHz,Up to 4.7GHz,8.0,16.0,,45W,
201,AMD Ryzen 5 2500U,2.0GHz,Up to 3.6GHz,4.0,8.0,FP5,15W,10/26/2017
202,AMD Ryzen 7 PRO 6850HS,3.2GHz,Up to 4.7GHz,8.0,16.0,,35W,
203,AMD Ryzen 3 2300U,2.0GHz,Up to 3.4GHz,4.0,4.0,FP5,15W,1/8/2018
204,AMD Ryzen 7 PRO 6850U,2.7GHz,Up to 4.7GHz,8.0,16.0,,,
205,AMD Ryzen 3 2200U,2.5GHz,Up to 3.4GHz,2.0,4.0,FP5,15W,1/8/2018
206,AMD Ryzen 5 PRO 6650H,3.3GHz,Up to 4.5GHz,6.0,12.0,,45W,
207,AMD Ryzen Threadripper 1950X,3.4GHz,Up to 4.0GHz,16.0,32.0,sTR4,180W,7/31/2017
208,AMD Ryzen 9 PRO 5945,3.0GHz,Up to 4.7GHz,12.0,24.0,AM4,65W,
209,AMD Ryzen Threadripper 1920X,3.5GHz,Up to 4.0GHz,12.0,24.0,sTR4,180W,7/31/2017
210,AMD Ryzen 7 PRO 5845,3.4GHz,Up to 4.6GHz,8.0,16.0,AM4,65W,
211,AMD Ryzen Threadripper 1900X,3.8GHz,Up to 4.0GHz,8.0,16.0,sTR4,180W,8/31/2017
212,AMD Ryzen 7 1800X,3.6GHz,Up to 4.0GHz,8.0,16.0,AM4,95W,3/2/2017
213,AMD Ryzen 5 PRO 5645,3.7GHz,Up to 4.6GHz,6.0,12.0,AM4,65W,
214,AMD Ryzen 5 PRO 6650HS,3.3GHz,Up to 4.5GHz,6.0,12.0,,35W,
215,AMD Ryzen 7 PRO 5750G,3.8GHz,Up to 4.6GHz,8.0,16.0,AM4,65W,6/1/2021
216,AMD Ryzen 7 PRO 5750GE,3.2GHz,Up to 4.6GHz,8.0,16.0,AM4,35W,6/1/2021
217,AMD Ryzen 5 PRO 5650G,3.9GHz,Up to 4.4GHz,6.0,12.0,AM4,65W,6/1/2021
218,AMD Ryzen 5 PRO 5650GE,3.4GHz,Up to 4.4GHz,6.0,12.0,AM4,35W,6/1/2021
219,AMD Ryzen 5 PRO 6650U,2.9GHz,Up to 4.5GHz,6.0,12.0,,,
220,AMD Ryzen 7 1700X,3.4GHz,Up to 3.8GHz,8.0,16.0,AM4,95W,3/2/2017
221,AMD Ryzen 9 PRO 3900,3.1GHz,Up to 4.3GHz,12.0,24.0,AM4,65W,9/30/19
222,AMD Ryzen 7 PRO 5875U,2.0GHz,Up to 4.5GHz,8.0,16.0,FP6,15W,
223,AMD Ryzen 7 PRO 3700,3.6GHz,Up to 4.4GHz,8.0,16.0,AM4,65W,9/30/19
224,AMD Ryzen 5 PRO 4655G,3.7GHz,Up to 4.2GHz,6.0,12.0,AM4,65W,
225,AMD Ryzen 7 1700 Processor,3.0GHz,Up to 3.7GHz,8.0,16.0,AM4,65W,3/2/2017
226,AMD Ryzen 5 PRO 5675U,2.3GHz,Up to 4.3GHz,6.0,12.0,FP6,15W,
227,AMD Ryzen 7 PRO 5850U,1.9GHz,Up to 4.4GHz,8.0,16.0,FP6,15W,03/16/2021
228,AMD Ryzen 3 PRO 5475U,2.7GHz,Up to 4.1GHz,4.0,8.0,FP6,15W,
229,AMD Ryzen 5 PRO 5650U,2.3GHz,Up to 4.2GHz,6.0,12.0,FP6,15W,03/16/2021
230,AMD Ryzen 3 PRO 5450U,2.6GHz,Up to 4.0GHz,4.0,8.0,FP6,15W,03/16/2021
231,AMD Ryzen 3 PRO 5350G,4.0GHz,Up to 4.2GHz,4.0,8.0,AM4,65W,6/1/2021
232,AMD Ryzen 7 PRO 4750G,3.6GHz,Up to 4.4GHz,8.0,16.0,AM4,65W,7/21/2020
233,AMD Ryzen 7 PRO 4750GE,3.1GHz,Up to 4.3GHz,8.0,16.0,AM4,35W,7/21/2020
234,AMD Ryzen 5 PRO 3600,3.6GHz,Up to 4.2GHz,6.0,12.0,AM4,65W,9/30/19
235,AMD Ryzen 5 1600X,3.6GHz,Up to 4.0GHz,6.0,12.0,AM4,95W,4/11/2017
236,AMD Ryzen 3 PRO 5350GE,3.6GHz,Up to 4.2GHz,4.0,8.0,AM4,35W,6/1/2021
237,AMD Ryzen 5 PRO 4655GE,3.3GHz,Up to 4.2GHz,6.0,12.0,AM4,35W,
238,AMD Ryzen 3 PRO 4355G,3.8GHz,Up to 4.0GHz,4.0,8.0,AM4,65W,Q4 2022
239,AMD Ryzen 5 PRO 4650G,3.7GHz,Up to 4.2GHz,6.0,12.0,AM4,65W,7/21/2020
240,AMD Ryzen 5 PRO 4650GE,3.3GHz,Up to 4.2GHz,6.0,12.0,AM4,35W,7/21/2020
241,AMD Ryzen 3 PRO 4355GE,3.5GHz,Up to 4.0GHz,4.0,8.0,AM4,35W,Q4 2022
242,AMD Ryzen 3 PRO 4350G,3.8GHz,Up to 4.0GHz,4.0,8.0,AM4,65W,7/21/2020
243,AMD Ryzen 3 PRO 4350GE,3.5GHz,Up to 4.0GHz,4.0,8.0,AM4,35W,7/21/2020
244,AMD Ryzen 5 1600,3.2GHz,Up to 3.6GHz,6.0,12.0,AM4,65W,4/11/2017
245,AMD Ryzen 5 1600 (AF),3.2GHz,Up to 3.6GHz,6.0,12.0,AM4,65W,
246,AMD Ryzen 5 PRO 3400G,3.7GHz,Up to 4.2GHz,4.0,8.0,AM4,65W,9/30/19
247,AMD Ryzen 5 1500X,3.5GHz,Up to 3.7GHz,4.0,8.0,AM4,65W,4/11/2017
248,AMD Ryzen 5 PRO 3400GE,3.3GHz,Up to 4.0GHz,4.0,8.0,AM4,35W,9/30/19
249,AMD Ryzen 5 PRO 3350G,3.6GHz,Up to 4.0GHz,4.0,8.0,AM4,65W,7/21/2020
250,AMD Ryzen 5 PRO 3350GE,3.3GHz,Up to 3.9GHz,4.0,4.0,,35W,7/21/2020
251,AMD Ryzen 5 1400,3.2GHz,Up to 3.4GHz,4.0,8.0,AM4,65W,4/11/2017
252,AMD Ryzen 3 PRO 3200G,3.6GHz,Up to 4.0GHz,4.0,4.0,AM4,65W,9/30/19
253,AMD Ryzen 3 PRO 3200GE,3.3GHz,Up to 3.8GHz,4.0,4.0,AM4,35W,9/30/19
254,AMD Ryzen 3 1300X,3.5GHz,Up to 3.7GHz,4.0,4.0,AM4,65W,07/27/2017
255,AMD Athlon Gold PRO 3150G,3.5GHz,Up to 3.9GHz,4.0,4.0,AM4,65W,7/21/2020
256,AMD Athlon Gold PRO 3150GE,3.3GHz,Up to 3.8GHz,4.0,4.0,AM4,35W,7/21/2020
257,AMD Athlon Silver PRO 3125GE,3.4GHz,Up to 3.4GHz,2.0,4.0,AM4,35W,7/21/2020
258,AMD Athlon PRO 300GE,3.4GHz,,2.0,4.0,AM4,35W,9/30/19
259,AMD Ryzen 3 1200,3.1GHz,Up to 3.4GHz,4.0,4.0,AM4,65W,07/27/2017
260,AMD Ryzen 7 PRO 2700X,3.6GHz,Up to 4.1GHz,8.0,16.0,AM4,95W,
261,AMD Ryzen 7 PRO 2700,3.2GHz,Up to 4.1GHz,8.0,16.0,AM4,65W,
262,AMD Ryzen 7 PRO 4750U,1.7GHz,Up to 4.1GHz,8.0,16.0,FP6,15W,5/7/2020
263,AMD Ryzen 5 PRO 4650U,2.1GHz,Up to 4.0GHz,6.0,12.0,FP6,15W,5/7/2020
264,AMD Ryzen 3 PRO 4450U,2.5GHz,Up to 3.7GHz,4.0,8.0,FP6,15W,5/7/2020
265,AMD Ryzen 7 PRO 1700X Processor,3.4GHz,Up to 3.8GHz,8.0,16.0,AM4,95W,06/29/2017
266,AMD Ryzen 7 PRO 3700U,2.3GHz,Up to 4.0GHz,4.0,8.0,FP5,15W,4/8/2019
267,AMD Ryzen 5 PRO 3500U,2.1GHz,Up to 3.7GHz,4.0,8.0,FP5,15W,4/8/2019
268,AMD Ryzen 7 PRO 1700,3.0GHz,Up to 3.7GHz,8.0,16.0,AM4,65W,06/29/2017
269,AMD Ryzen 5 PRO 2600,3.4GHz,Up to 3.9GHz,6.0,12.0,AM4,65W,
270,AMD Athlon PRO 3145B,2.4GHz,Up to 3.3GHz,2.0,4.0,FP5,15W,Q12021
271,AMD Athlon PRO 3045B,2.3GHz,Up to 3.2GHz,2.0,2.0,FP5,15W,Q12021
272,AMD Ryzen 3 PRO 3300U,2.1GHz,Up to 3.5GHz,4.0,4.0,FP5,15W,4/8/2019
